date,close
2025-09-08,7.433
2025-09-09,7.408
2025-09-10,7.409
2025-09-11,7.497
2025-09-12,7.469
2025-09-15,7.468
2025-09-16,7.381
2025-09-17,7.434
2025-09-18,7.508
2025-09-19,7.495
2025-09-22,7.486
2025-09-23,7.527
2025-09-24,7.486
2025-09-25,7.426
2025-09-26,7.458
2025-09-29,7.463
2025-09-30,7.431
2025-10-01,7.514
2025-10-02,7.538
2025-10-03,7.606
2025-10-06,7.655
2025-10-07,7.571
2025-10-08,7.65
2025-10-09,7.651
2025-10-10,7.456
2025-10-13,7.556
2025-10-14,7.562
2025-10-15,7.628
2025-10-16,7.6
2025-10-17,7.473
2025-10-20,7.6
2025-10-21,7.632
2025-10-22,7.559
2025-10-23,7.629
2025-10-24,7.709
2025-10-27,7.706
2025-10-28,7.665
2025-10-29,7.659
2025-10-30,7.642
2025-10-31,7.628
2025-11-03,7.601
2025-11-04,7.584
2025-11-05,7.59
2025-11-06,7.489
2025-11-07,7.419
2025-11-10,7.591
2025-11-11,7.596
2025-11-12,7.631
2025-11-13,7.5
2025-11-14,7.488
2025-11-17,7.443
2025-11-18,7.349
2025-11-19,7.377
2025-11-20,7.404
2025-11-21,7.392
2025-11-24,7.5
2025-11-25,7.592
2025-11-26,7.675
2025-11-27,7.678
2025-11-28,7.729
2025-12-01,7.68
2025-12-02,7.645
2025-12-03,7.661
2025-12-04,7.713
2025-12-05,7.743
2025-12-08,7.735
2025-12-09,7.752
2025-12-10,7.744
2025-12-11,7.792
2025-12-12,7.735
2025-12-15,7.712
2025-12-16,7.675
2025-12-17,7.65
2025-12-18,7.732
2025-12-19,7.754
2025-12-22,7.807
2025-12-23,7.769
2025-12-29,7.756
2025-12-30,7.78
2026-01-02,7.752
2026-01-05,7.894
2026-01-07,8.01
2026-01-08,8.044
2026-01-09,8.14
2026-01-12,8.144
2026-01-13,8.14
2026-01-14,8.154
2026-01-15,8.293
2026-01-16,8.293
2026-01-19,8.183
2026-01-20,8.149
2026-01-21,8.203
2026-01-22,8.312
2026-01-23,8.228
2026-01-26,8.157
2026-01-27,8.105
2026-01-28,8.112
2026-01-29,8.053
2026-01-30,8.044
2026-02-02,8.133
2026-02-03,8.172
2026-02-04,8.189
2026-02-05,8.142
2026-02-06,8.261
2026-02-09,8.309
2026-02-10,8.35
2026-02-11,8.333
2026-02-12,8.25
2026-02-13,8.3
2026-02-16,8.29
2026-02-17,8.299
2026-02-18,8.401
2026-02-19,8.375
2026-02-20,8.403
2026-02-23,8.306
2026-02-24,8.369
2026-02-25,8.399
2026-02-26,8.431
2026-02-27,8.406
2026-03-02,8.41
2026-03-03,8.271
2026-03-04,8.349
2026-03-05,8.281
2026-03-06,8.129
2026-03-09,8.033
2026-03-10,8.203
2026-03-11,8.124
2026-03-12,8.063
2026-03-13,8.027
2026-03-16,8.06
2026-03-17,8.085
2026-03-18,8.066
2026-03-19,7.915
2026-03-20,7.831
2026-03-23,7.892
2026-03-24,7.942
2026-03-25,8.023
2026-04-02,8.086
2026-04-07,8.067
2026-04-30,8.488
2026-05-04,8.517
2026-06-01,8.894
2026-06-02,8.917
2026-06-03,8.888
2026-06-04,8.933
2026-06-05,8.845
2026-06-08,8.838
2026-06-10,8.768
2026-06-11,8.817
2026-06-12,9.027
2026-06-15,9.09
2026-06-16,9.042
2026-06-17,9.082
2026-06-18,9.09
2026-06-19,9.116
2026-06-22,9.152
2026-06-23,9.082
2026-06-24,9.153
2026-06-25,9.196
2026-06-26,9.182
2026-06-29,9.116
2026-06-30,9.225
2026-07-01,9.292
2026-07-02,9.178
2026-07-03,9.222
2026-07-06,9.244
2026-07-07,9.088
2026-07-08,8.959
2026-07-09,9.123
2026-07-10,9.11
2026-07-13,9.091
2026-07-14,9.076
2026-07-15,9.075
2026-07-16,9.093
2026-07-17,8.987
2026-07-20,9.005
2026-07-21,9.061
2026-07-22,9.088
2026-07-23,9.008
2026-07-24,9.086
2026-07-27,9.031
2026-07-28,9.034
2026-07-29,8.945
2026-07-30,8.903
2026-07-31,8.922
2026-08-03,9.027
2026-08-04,9.169
2026-08-05,9.207
2026-08-06,9.206
2026-08-07,9.227
2026-08-10,9.203
2026-08-11,9.229
2026-08-12,9.275
2026-08-13,9.32
2026-08-14,9.327
2026-08-17,9.328
2026-08-18,9.213
2026-08-19,9.201
2026-08-20,9.126
2026-08-21,9.164
2026-08-24,9.13
2026-08-25,9.167
2026-08-26,9.18
2026-08-27,9.196
2026-08-28,9.199
2026-08-31,9.09
2026-09-01,9.075
2026-09-02,9.066
2026-09-03,9.146
